Timestamp,Temperature (C),Humidity (%)
2024-12-12 07:33:03,23.8,51.0
2024-12-12 07:33:08,23.8,51.0
2024-12-12 07:33:13,23.8,51.0
2024-12-12 07:33:18,23.8,51.0
2024-12-12 07:33:24,23.8,51.0
2024-12-12 07:33:29,23.8,51.0
2024-12-12 07:33:34,23.8,51.0
2024-12-12 07:33:39,23.8,51.0
2024-12-12 07:33:45,23.8,51.0
2024-12-12 07:33:50,23.8,51.0
2024-12-12 07:33:55,23.8,51.0
2024-12-12 07:34:00,23.8,52.0
2024-12-12 07:34:06,23.8,52.0
2024-12-12 07:34:11,23.8,51.0
2024-12-12 07:34:16,23.8,51.0
2024-12-12 07:34:21,23.8,51.0
2024-12-12 07:34:27,23.8,51.0
2024-12-12 07:34:32,23.8,51.0
2024-12-12 07:34:37,23.8,51.0
2024-12-12 07:34:42,23.8,51.0
2024-12-12 07:34:48,23.8,51.0
2024-12-12 07:34:53,23.8,51.0
2024-12-12 07:34:59,23.8,51.0
2024-12-12 07:35:04,23.8,51.0
2024-12-12 07:35:09,23.8,51.0
2024-12-12 07:35:14,23.8,51.0
2024-12-12 07:35:19,23.8,51.0
2024-12-12 07:35:24,23.8,51.0
2024-12-12 07:35:30,23.8,51.0
2024-12-12 07:35:35,23.8,51.0
2024-12-12 07:35:40,23.8,52.0
2024-12-12 07:35:46,23.8,52.0
2024-12-12 07:35:51,23.8,52.0
2024-12-12 07:35:56,23.8,52.0
2024-12-12 07:36:01,23.8,52.0
2024-12-12 07:36:06,23.8,52.0
2024-12-12 07:36:12,23.8,52.0
2024-12-12 07:36:17,23.8,52.0
2024-12-12 07:36:22,23.8,52.0
2024-12-12 07:36:27,23.8,52.0
2024-12-12 07:36:32,23.8,52.0
2024-12-12 07:36:37,23.8,52.0
2024-12-12 07:36:42,23.8,52.0
2024-12-12 07:36:48,23.8,52.0
2024-12-12 07:36:53,23.8,52.0
2024-12-12 07:36:58,23.8,52.0
2024-12-12 07:37:03,23.8,52.0
2024-12-12 07:37:08,23.8,52.0
2024-12-12 07:37:14,23.8,52.0
2024-12-12 07:37:19,23.8,52.0
2024-12-12 07:37:24,23.8,53.0
2024-12-12 07:37:29,23.8,53.0
2024-12-12 07:37:35,23.8,53.0
2024-12-12 07:37:40,23.8,53.0
2024-12-12 07:37:45,23.8,53.0
2024-12-12 07:37:51,23.8,53.0
2024-12-12 07:37:56,23.8,53.0
2024-12-12 07:38:01,23.8,53.0
2024-12-12 07:38:06,23.8,53.0
2024-12-12 07:38:11,23.8,53.0
2024-12-12 07:38:16,23.8,53.0
2024-12-12 07:38:22,23.8,53.0
2024-12-12 07:38:27,23.8,53.0
2024-12-12 07:38:32,23.8,53.0
2024-12-12 07:38:37,23.8,53.0
2024-12-12 07:38:42,23.8,53.0
2024-12-12 07:38:48,23.8,53.0
2024-12-12 07:38:53,23.8,53.0
2024-12-12 07:38:58,23.8,53.0
2024-12-12 07:39:03,23.8,53.0
2024-12-12 07:39:08,23.8,53.0
2024-12-12 07:39:14,23.8,54.0
2024-12-12 07:39:19,23.8,54.0
2024-12-12 07:39:24,23.8,54.0
2024-12-12 07:39:30,23.8,54.0
2024-12-12 07:39:35,23.8,54.0
2024-12-12 07:39:40,23.8,54.0
2024-12-12 07:39:45,23.8,54.0
2024-12-12 07:39:51,23.8,54.0
2024-12-12 07:39:56,23.8,54.0
2024-12-12 07:40:01,23.8,53.0
2024-12-12 07:40:07,23.8,53.0
2024-12-12 07:40:12,23.8,53.0
2024-12-12 07:40:17,23.8,53.0
2024-12-12 07:40:22,23.8,53.0
2024-12-12 07:40:27,23.8,53.0
2024-12-12 07:40:32,23.8,53.0
2024-12-12 07:40:38,23.8,53.0
2024-12-12 07:40:43,23.8,52.0
2024-12-12 07:40:48,23.8,52.0
2024-12-12 07:40:53,23.8,52.0
2024-12-12 07:40:58,23.8,52.0
2024-12-12 07:41:03,23.8,52.0
2024-12-12 07:41:09,23.8,52.0
2024-12-12 07:41:14,23.8,52.0
2024-12-12 07:41:19,23.8,52.0
2024-12-12 07:41:24,23.8,51.0
2024-12-12 07:41:29,23.8,51.0
2024-12-12 07:41:34,23.8,51.0
2024-12-12 07:41:40,23.8,52.0
2024-12-12 07:41:45,23.8,52.0
2024-12-12 07:41:50,23.8,52.0
2024-12-12 07:41:56,23.8,51.0
2024-12-12 07:42:01,23.8,52.0
2024-12-12 07:42:06,23.8,52.0
2024-12-12 07:42:11,23.8,52.0
2024-12-12 07:42:16,23.8,52.0
2024-12-12 07:42:21,23.8,52.0
2024-12-12 07:42:27,23.8,51.0
2024-12-12 07:42:32,23.8,51.0
2024-12-12 07:42:37,23.8,51.0
2024-12-12 07:42:42,23.8,51.0
2024-12-12 07:42:47,23.8,51.0
2024-12-12 07:42:53,23.8,51.0
2024-12-12 07:42:58,23.8,50.0
2024-12-12 07:43:03,23.8,50.0
2024-12-12 07:43:09,23.8,50.0
2024-12-12 07:43:14,23.8,50.0
2024-12-12 07:43:19,23.8,50.0
2024-12-12 07:43:24,23.8,50.0
2024-12-12 07:43:30,23.8,50.0
2024-12-12 07:43:35,23.8,50.0
2024-12-12 07:43:40,23.8,50.0
2024-12-12 07:43:46,23.8,50.0
2024-12-12 07:43:51,23.8,50.0
2024-12-12 07:43:56,23.8,50.0
2024-12-12 07:44:02,23.8,50.0
2024-12-12 07:44:07,23.8,50.0
2024-12-12 07:44:12,23.8,50.0
2024-12-12 07:44:17,23.8,50.0
2024-12-12 07:44:22,23.8,50.0
2024-12-12 07:44:28,23.8,50.0
2024-12-12 07:44:33,23.8,50.0
2024-12-12 07:44:38,23.8,50.0
2024-12-12 07:44:43,23.8,50.0
2024-12-12 07:44:48,23.8,50.0
2024-12-12 07:44:54,23.8,50.0
2024-12-12 07:44:59,23.8,50.0
2024-12-12 07:45:04,23.8,50.0
